DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Hydro Pumped Storage	0.0	780.8	2022-03-02 14:12:06
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Fossil Oil	0.0	0.0	2022-03-01 03:04:06
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Hydro Run-of-river and poundage	1593.2	0.0	2022-03-02 14:12:16
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Other renewable	0.0	0.0	2022-03-01 03:04:06
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Hydro Water Reservoir	17.2	0.0	2022-03-02 14:12:09
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Hydro Run-of-river and poundage	1593.2	0.0	2022-03-02 14:12:26
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Geothermal	0.07	0.0	2022-03-01 03:04:08
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Other	22.0	0.0	2022-03-01 03:04:08
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Hydro Water Reservoir	17.2	0.0	2022-03-02 14:12:18
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Biomass	92.0	0.0	2022-03-01 03:04:09
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Biomass	92.0	0.0	2022-03-01 03:04:09
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Fossil Gas	1572.8	0.0	2022-03-02 14:12:42
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Fossil Gas	1572.8	0.0	2022-03-02 14:12:33
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Waste	100.0	0.0	2022-03-01 03:04:11
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Waste	100.0	0.0	2022-03-01 03:04:12
